Año,Trimestre,Periodo,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Otras Velocidades,Total conexiones segun velocidad,Ingresos (miles de pesos)
2024,1,Ene-Mar 2024,78.89,24.79,774475,5986957,4015101,598682,257941,11633156,139.15,28801,69355,866152,950930,672155,353896,8363694,328173,11633156,280419124.08
2023,4,Oct-Dic 2023,78.56,24.66,836390,6022532,3908183,585760,194796,11547661,139.04,29708,71742,900253,978108,697232,350290,8224736,295592,11547661,167376014.8
2023,3,Jul-Sept 2023,77.84,24.41,897895,6018832,3708718,581436,200027,11406908,129.67,30274,80609,945608,998725,720084,350918,8003269,277421,11406908,133106593.41
2023,1,Ene-Mar 2023,77.2,24.17,1204417,6002582,3243411,576647,214838,11241895,110.5,31437,82048,1001553,1060321,729194,357769,7564819,414754,11241895,104134992.81
2022,4,Oct-Dic 2022,77.21,24.15,1315373,6037457,3060575,572969,221740,11208114,106.56,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114,72443482.9891497
2022,3,Jul-Sept 2022,76.64,23.95,1395277,6031970,2871541,557110,235230,11091128,62.46,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128,64086784.3305304
2022,2,Abr-Jun 2022,75.96542437191371,23.7204423164287,1468333,5979214,2723285,556243,231609,10958684,58.44,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684,60419500.6232803
2022,1,Ene-Mar 2022,73.87880284452622,23.049171038697732,1533240,6073426,2219533,545814,251996,10624009,55.11,34890,104840,1263273,1209148,967508,509830,6336187,198333,10624009,55219313.0146503
2021,4,Oct-Dic 2021,73.17639652814779,22.810702052174992,1657615,5984240,2072236,523107,252596,10489794,52.34,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794,45467887.16501248
2021,3,Jul-Sept 2021,70.57885341443017,21.982550082706407,1950631,5826257,1566048,492415,250190,10085541,48.46,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541,42999944.292822465
2021,2,Abr-Jun 2021,69.24018269199719,21.54793892759205,2018587,5641731,1472246,476968,253552,9863084,45.63,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084,38239666.63354247
2021,1,Ene-Mar 2021,67.94587638885211,21.127831812160064,2175211,5424782,1362976,434548,250455,9647972,43.11,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972,36676371.36239245
2020,4,Oct-Dic 2020,67.62233866155619,21.010191748284452,2213949,5371824,1311199,421554,253036,9571562,42.36,39510,42185,2622638,1073875,786595,582420,4239237,185102,9571562,33539702.716311768
2020,3,Jul-Sept 2020,66.31,20.59,2263889,5259351,1170879,413259,248821,9356199,40.67,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199,31997444.530699246
2020,2,Abr-Jun 2020,64.21000287666993,19.918402765295003,2295533,5005115,1106725,376667,247016,9031056,38.32,41038,48690,2651502,1053107,807775,523437,3711499,194008,9031056,32102475.991463635
2020,1,Ene-Mar 2020,62.85636111359369,19.483264768615577,2299457,4903674,1047817,352333,209145,8812426,37.52,42550,56170,2649819,1022014,814470,532309,3500882,194212,8812426,29946216.452049132
2019,4,Oct-Dic 2019,62.91991182091471,19.48790008712971,2414575,4883869,941295,340144,213298,8793181,28.26,38272,28980,2792307,1046128,851619,1004083,2830746,201046,8793181,24169250.699015297
2019,3,Jul-Sept 2019,65.7879845391111,20.360660718556826,2909805,4800091,852221,338241,264326,9164684,24.18,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684,21652748.444642507
2019,2,Abr-Jun 2019,64.53,19.96,2990457,4635575,760794,308027,265328,8960181,20.33,202790,95980,3444458,871142,1169632,1250366,1677830,247983,8960181,20743117.694006097
2019,1,Ene-Mar 2019,62.47916610977176,19.307906741229864,3132789,4435439,637099,276419,166389,8648135,17.38,166573,195706,3428759,882836,1464748,1244215,1138728,126570,8648135,20207413.77085243
2018,4,Oct-Dic 2018,61.41580723435766,18.97,3329027,4313831,388013,264299,178485,8473655,15.95,138740,201196,3337982,882388,1472634,1688748,599579,152388,8473655,16637686.589009605
2018,3,Jul-Sept 2018,60.69,18.73,3521447,4238171,247366,246181,93870,8347035,15.36,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035,15410980.692582969
2018,2,Abr-Jun 2018,59.1620687879326,18.24,3557216,4038141,226285,194267,94535,8110444,13.8495399422441,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444,14319467.460713817
2018,1,Ene-Mar 2018,58.82,18.12,3574294,3981129,217460,165300,98870,8037053,13.221339833489,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053,13171459.230893355
2017,4,Oct-Dic 2017,57.782350963183326,17.7929770681446,3584311,3818157,211425,155775,100554,7870222,12.0076260812107,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222,11226127.38858
2017,3,Jul-Sept 2017,56.89922141223151,17.5090322340829,3622575,3670221,193964,106443,131740,7724943,8.33904815764714,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629,10065997.86215
2017,2,Abr-Jun 2017,54.901190659837084,16.8829367167329,3723518,3383434,180777,85813,56122,7429664,7.15995552367739,22366,222766,4416065,990281,1342000,231604,98635,0,7323717,9678646.92829
2017,1,Ene-Mar 2017,54.16211582414749,16.6445653587914,3708898,3276251,180146,84813,55746,7305854,6.62407908134137,20653,230159,4584534,975027,1129987,210668,47990,0,7199018,8701201.42137
2016,4,Oct-Dic 2016,53.93601866428618,16.564000030973244,3722794,3210602,178070,85119,55088,7251673,6.33738413446842,20724,233398,4673339,971094,1038029,169522,38590,0,7144696,7483980.393279007
2016,3,Jul-Sept 2016,53.73418622887769,16.504675674002662,3776442,3124855,169898,81455,54300,7206950,5.9387765869846,20104,294413,4816081,936533,919208,124564,31022,0,7141925,6912441.538856647
2016,2,Abr-Jun 2016,53.342201152611636,16.371351499331684,3782085,3035272,167788,85452,59482,7130079,5.42353097512933,44008,384221,5058481,796998,785759,73977,29020,0,7172464,6534240.597500004
2016,1,Ene-Mar 2016,51.84545169695796,15.901801868833909,3792493,2806359,164371,85370,58763,6907356,5.08370177629755,30428,404810,4944358,762999,641646,27664,23380,0,6835285,5936844.886499999
2015,4,Oct-Dic 2015,52.63088750448939,16.122696946278083,3803024,2898226,139187,85726,58668,6984831,4.99044890054109,34243,427394,5049640,726740,639011,17568,22170,0,6916766,5376899.206
2015,3,Jul-Sept 2015,52.45910622153948,16.050289147694723,3788696,2840203,162663,84530,58976,6935068,4.78891116867562,35030,455777,5087802,701187,539414,13101,20677,0,6852988,5153738.8843600005
2015,2,Abr-Jun 2015,51.760266081540586,15.8172335655737,3767821,2756294,150839,82077,59157,6816188,4.54538147818226,40723,500175,5138431,645440,432762,10045,18529,0,6786105,4701790.719660001
2015,1,Ene-Mar 2015,51.36458636223469,15.677234003379093,3756153,2668248,168188,79098,66045,6737732,4.35027886167618,41158,516919,5121423,571620,348102,7643,16347,0,6623212,4876385.315070001
2014,4,Oct-Dic 2014,50.49978847426527,15.394676968457423,3764038,2536219,149682,76984,71573,6598496,4.15688796190556,44075,554749,5084556,496251,276254,4371,15229,0,6475485,3950440.78037
2014,3,Jul-Sept 2014,50.67236813472314,15.428768804428332,3714764,2569868,155494,85096,70049,6595271,3.86726501227843,37430,608018,5153437,373372,182483,507,12424,0,6367671,3478637.7427996206
2014,2,Abr-Jun 2014,49.861428437657636,15.163908007906054,3708882,2461670,149363,72405,72148,6464468,3.75871218894443,41064,656408,5149574,341689,147273,478,12259,0,6348745,3270816.20391
2014,1,Ene-Mar 2014,49.545821345016996,15.050103872893196,3697066,2407330,150323,70749,72930,6398398,3.6171267670209,52684,687619,5130294,289182,101127,345,11595,0,6272846,2984054.2087800005
